id,title,url,description,comments,original_poster,views,reply_count,comment_count,posts_count,created_at,activity,category_name,category_id,last_posted_at
348,About the RFP category,https://forum.solana.com/t/about-the-rfp-category/348,"RFP, or Request for Proposal, outlines a project that the author is interested in funding. This category is for discussing RFPs created by Solana Foundation.",,jacobcreech,538,0,0,1,2023-06-30T01:45:20.491Z,,RFP,10,
2249,Solana Historical State Verification Tool,https://forum.solana.com/t/solana-historical-state-verification-tool/2249,"Solana Historical State Verification Tool
Context
The Solana ecosystem currently lacks a comprehensive tool for verifying historical state transitions. As we’ve evolved from the Anza Google Bucket instance to more diverse and efficient archival solutions, there’s a growing need for end users to verify the accuracy of data received from various archive providers. While the existing solana-ledger-tool can reproduce transaction execution results, it doesn’t account for historical file formats, previous SVM versions, or past feature sets, leading to potential inaccuracies when verifying older data.
Please see the following RFP that outlines a request to create an open-source historical state verification tool for Solana. The Solana Foundation has proposed a set of solutions, but the specific implementation details will be finalized during grant negotiation between the grantee and the Solana Foundation.
Logistics
Take note of the application deadline (11/15/2024). The maximum grant amount is currently earmarked at $275k in USD-equivalent locked SOL. The final grantee will work with the Solana Foundation to decide on the final terms of the agreement, including negotiation of rigorous but attainable milestones.
Ground Rules
This thread can be used for comments, questions, praise, and/or criticism, and is intended to be an open forum for any prospective responders. This thread is also an experiment in increasing the transparency through which RFPs are fielded by the Solana ecosystem, so please be mindful that we’re all here to learn and grow.
Responses to this RFP are not required to be public (but recommended), but if it is helpful to share notes or combine forces, then please use this thread for such purposes.","[SE7EN]: Hi @laura,
We’ve submitted our application but haven’t heard back yet. Do you have a timeline for when you’ll be responding to the proposals?

[luke_mlabs]: MLabs (www.mlabs.city) also submitted a bid - was there ever a result announced?

",laura,522,0,2,3,2024-10-14T04:28:11.883Z,2025-01-16T12:10:04.472Z,RFP,10,2025-01-16T12:10:04.472Z
2059,Indexer tooling,https://forum.solana.com/t/indexer-tooling/2059,"Context
Geyser, while a great tool, does not provide an ergonomic end-to-end solution for developers to get a full picture of the data created from their programs or desired accounts. While useful for certain use cases, developers in the Solana ecosystem need a simple, yet malleable tool for retrieving live and historical data.
Please see the following RFP that outlines a request to create an open source indexer framework. The Solana Foundation lays out a list of proposed solutions, but the technology used to build the indexer will be decided during grant negotiation by the grantee and the Solana Foundation.
Logistics
Take note of the application deadline (10/04/2024). The maximum grant amount is currently earmarked to $100k in USD-equivalent locked SOL. The final grantee will work with the Solana Foundation to decide on the final terms of the agreement, including negotiation of rigorous but attainable milestones.
Ground Rules
This thread can be used for comments, questions, praise, and / or criticism, and is intended to be an open forum for any prospective responders. This thread is also an experiment in increasing the transparency through which RFPs are fielded by the Solana ecosystem too, so please be mindful that we’re all here to learn and grow.
Responses to this RFP are not required to be public (but recommended), but if it is helpful to share notes or combine forces, then please use this thread for such purposes.
Link: Airtable - Solana Foundation Active RFPs","[codewithmide]: pkxro:
This thread is also an experiment in increasing the transparency through which RFPs are fielded by the Solana ecosystem too, so please be mindful that we’re all here to learn and grow.
I would love to team up on this. Anyone interested?

[dmozhevitin]: Hi!
The RFP itself doesn’t mention the data sources where the proposed tool should fetch the data from. For me it seems that it should allow integration with existing indexers (or just node RPC) to fetch the data from there, and allow exporting the data about specific accounts directly to developer’s database. Could you please tell if I got the idea of this RFP right, or elaborate a bit more if this is not the case?
Thank you in advance!

[abba0110]: Have a related question on system design. Is the goal for this tool to interface with the validator via remote procedure call, or parse the state in /accounts/run and /rocksdb?
Second pass at the requirements.

[pkxro]: The RFP itself doesn’t mention the data sources where the proposed tool should fetch the data from. For me it seems that it should allow integration with existing indexers (or just node RPC) to fetch the data from there, and allow exporting the data about specific accounts directly to developer’s database. Could you please tell if I got the idea of this RFP right, or elaborate a bit more if this is not the case?
This is up to the RFP applicant, but ideally will be a connection to a geyser stream service that RPC providers already offer. If you can do RPC link or geyser, that would be bonus points.

[pkxro]: Have a related question on system design. Is the goal for this tool to interface with the validator via remote procedure call , or parse the state in /accounts/run and /rocksdb?
The goal of this RFP is to offer a stack for developers who do not run fullnodes to get realtime (and historical) updates for their program. It is reasonable to say that the access to the data will come from geyser or RCP links that come from RPC providers.

[meowmeowmoew]: Hi,
Quick question about the grant funds repartition here.
Is the maximum grant of 100k a fund to build the project in the ~ 4 months delay and thats all, or should applicant consider including the maintenance cost for 2 years part of the grant ?
warmest,
meowmeowmeow

[Dsrdrk11a]: Hello! We have aplied for this RFP on the 3rd of Oct, but still didn’t get any reply or info on evaluation on the email, mentioned in the application. In order to understand the workload for the coming months, could someone, please, inform us about the decision-making timeline regarding this RFP?

[luke_mlabs]: Hello,
We at MLabs are quite interested in this project and are considering applying. As part of our due diligence, we have a few clarifying questions:
How is the SOL payment determined and unlocked? For instance, upon application acceptance, the spot equivalent of 100K USD in SOL is locked and then unlocked upon project completion? We’re trying to understand better where the currency volatility risk lies.
While we view this as a minimal risk, could you clarify what happens if the project timeline is exceeded? Is the project considered a failure, is payment reduced, or are there other contingencies?
What are the expectations regarding progress reports, stakeholder check-ins, and general communication throughout the project duration?
Thank you for the clarity!

[idontknowhowtospell]: i will start an experiment, I will launch a coin on pump.fun through this forum to see if it gets traction Its gonna contain the Ticker $Apple and will use this TG: Telegram: Contact @apple_on_sol
no more infos
Have fun

",pkxro,1138,3,9,10,2024-09-05T10:57:11.925Z,2024-11-04T20:52:48.857Z,RFP,10,2024-11-04T20:52:48.857Z
2060,Discriminator Database,https://forum.solana.com/t/discriminator-database/2060,"Context
Teams in the Solana ecosystem regularly face challenges interacting with unknown deployed contracts and parsing unknown instructions. A community discriminator dataset would lead to a public good grouping of IDL discriminators that any developer can pull from when needed, which would lead to an incremental increase in developer productivity and speed of interaction of Solana tooling.
Please see the following RFP that outlines a request to create an open source discriminator database. The Solana Foundation lays out a list of proposed solutions, but the technology used to build the database will be decided during grant negotiation by the grantee and the Solana Foundation.
Logistics
Take note of the application deadline (10/04/2024). The maximum grant amount is currently earmarked to $60k in USD-equivalent locked SOL. The final grantee will work with the Solana Foundation to decide on the final terms of the agreement, including negotiation of rigorous but attainable milestones.
Ground Rules
This thread can be used for comments, questions, praise, and / or criticism, and is intended to be an open forum for any prospective responders. This thread is also an experiment in increasing the transparency through which RFPs are fielded by the Solana ecosystem too, so please be mindful that we’re all here to learn and grow.
Responses to this RFP are not required to be public (but recommended), but if it is helpful to share notes or combine forces, then please use this thread for such purposes.
Link: Airtable - Solana Foundation Active RFPs","[dmozhevitin]: Hi! Thank you for publishing this RFP, sounds like a really valuable improvement!
Could you please help with the following questions?
What kind of collisions/conflicts/duplications is mentioned in the RFP description?
Should the frontend interface for uploading IDLs require the signature of program authority to upload the IDL for it? For the contract verification tools it isn’t necessary because their main purpose is comparing the uploaded source code with the bytecode deployed to the blockchain, but in this case some 3rd party actor can upload incorrect IDL for a given program intentionally, so it sounds like that this feature is necessary, unless I’m missing something.
What does “resolve an input given a hash” mean in the RFP description?
Thank you in advance!
UPD: as far as I understood from the discussions in Anchor discord, the apr.dev registry is discontinued and no longer working. Is it right that the RFP part about Anchor registry watcher is no longer relevant?

[ludovic]: Hi @pkxro,
We’re a team of 3 seasoned blockchain engineers, actively working full time on the problem that this spec is describing and we are super excited to see a RFP for this!
The specs makes sense to us, I have a few questions regarding some specific points:
A Community dataset that allows developers to upload discriminators and their associated inputs with metadata about program relevance with collision detection
I’d like to check my understanding here, is the idea helping developers checking the validity of their payloads pre transaction signing?
Community dataset hosted with chunked and compressed parquet files that developers can download on some regular cadence
Would it make sense to partition this dataset by protocol author / teams?
Could you unpack the intention / need driving this requirement?
Thank you for your help!

[pkxro]: @ludovic
I’d like to check my understanding here, is the idea helping developers checking the validity of their payloads pre transaction signing?
Yes exactly that – you should be able to upload an ABI and parse out all of the discriminators, or upload them individually with the sha256 of the 8bytes – note that there is some new yet-to-be upstreamed work that makes discriminators work for arbitrary lengths Support custom discriminators · Issue #3097 · coral-xyz/anchor · GitHub
Would it make sense to partition this dataset by protocol author / teams?
Could you unpack the intention / need driving this requirement?
Generally speaking, it is quite hard for data and monitoring teams to parse instructions cleanly. The goal if this RFP is to offer a UI, an API, and a rate-limited ability to get a full dump of the dataset (apache parquet is just what the data ecosystem converged on). Partitioning is ultimately up to you, but seeing as the output of this is just a set of discriminators/idls and not every parsed instruction ever, this should ideally not be too cumbersome because the footprint is quite small

[pkxro]: @dmozhevitin
What kind of collisions/conflicts/duplications is mentioned in the RFP description?
As a result of Support custom discriminators · Issue #3097 · coral-xyz/anchor · GitHub the footprint for collisions increases. You ultimately move from 2^256 to much lower parameters.
Should the frontend interface for uploading IDLs require the signature of program authority to upload the IDL for it? For the contract verification tools it isn’t necessary because their main purpose is comparing the uploaded source code with the bytecode deployed to the blockchain, but in this case some 3rd party actor can upload incorrect IDL for a given program intentionally, so it sounds like that this feature is necessary, unless I’m missing something.
Ideally this does not require the program authority to upload a discriminator or IDL. The idea here is to put the dataset in the hands of developers. If someone has previously found an IDL or someone has a discriminator and knows the args, they should be able to upload it. The key here is that the dataset does not attribute an IDL to a program. You can combine this user-generated dataset and scrape all of the anchor PDAs that hold IDLs and create a very comprehensive list that also includes authorized IDLs (we’ve already found indexed all of the anchor IDLs and are happy to share the dataset)
What does “resolve an input given a hash” mean in the RFP description?
Reverse mapping of hash → function if the function is already in the dataset

[ludovic]: @pkxro thank you for the details + pointer to 3097!
I would love to show you what we’re building, will you be Breakpoint?

[dmozhevitin]: Hi @pkxro!
Thank you for your answers!
I have one more question regarding this RFP: the RFP mentions the ability to upload/search discriminators/IDL for a given program. I wonder what’s the point of providing the ability to upload the discriminator separately, since uploading the IDL covers all the program discriminators. Does it make sense to make the frontend/API to upload only IDLs?
As a follow-up question, I also wonder what does the “upload discriminator” mean? It seems that upload the discriminator itself doesn’t make much sense, is it right that “uploading the discriminator” also includes uploading the associated account/instruction data (i.e. the part of the IDL)?
Thank you in advance!

",pkxro,502,5,6,7,2024-09-05T10:59:08.815Z,2024-09-24T11:16:10.051Z,RFP,10,2024-09-24T11:16:10.051Z
939,Rustls support for raw public keys,https://forum.solana.com/t/rustls-support-for-raw-public-keys/939,"Proposal
Sponsor the authors of rustls to add support for the RFC 7250 standard.
 
 
 IETF Datatracker
 
 
 
RFC 7250: Using Raw Public Keys in Transport Layer Security (TLS) and...
 
This document specifies a new certificate type and two TLS extensions for exchanging raw public keys in Transport Layer Security (TLS) and Datagram Transport Layer Security (DTLS). The new certificate type allows raw public keys to be used for...
 
 
 
 
 
 
Related GitHub issue: Support RawPublicKey (non-X509) certificates, e.g. for P2P · Issue #423 · rustls/rustls · GitHub
The maintainers of rustls are (according to the README):
Joe Birr-Pixton (@ctz, Project Founder - full-time funded by Prossimo)
Dirkjan Ochtman (@djc, Co-maintainer)
Daniel McCarney (@cpu, Co-maintainer - full-time funded by Prossimo)
Sponsorship links:
Rustls - Prossimo
Sponsor @djc on GitHub Sponsors · GitHub
Motivation
The Solana Labs client uses the rustls open-source library to establish secure peer-to-peer connections.
Considerable tech debt has been caused by lack of support for “raw public keys”, a TLS extension that simplifies authentication.
rustls only supports heavy web PKI/X.509 authentication, which is primarily designed for the web. The Solana Labs client has had to resort to hacks to get X.509 to work in peer-to-peer networks.
In Firedancer, 10255 lines of code are currently dedicated to supporting these X.509 mock certificates.
Support for RFC 7250 will improve network security and reduce code footprint by tens of thousands of lines of code across Solana peer-to-peer libraries.
See the following related forum posts:
QUIC-TLS in Firedancer (fd_tls) - #4 by ripatel-jump
Deprecate X.509 certs for P2P connections","[aochagavia]: I’m working on this right now (see this PR) and have a question: would it be all right to implement this only for TLS 1.3, or do we also need it for TLS 1.2? The maintainers mentioned they’d prefer a TLS1.3 -only implementation, that’s why I’m asking.

",ripatel-jump,749,0,1,2,2024-01-11T05:21:03.995Z,2024-08-29T14:30:48.903Z,RFP,10,2024-08-29T14:30:48.903Z
667,Generalized State Compression,https://forum.solana.com/t/generalized-state-compression/667,"Context
State Compression is a technical primitive for verifying data secured in the Solana ledger, allowing that data to be used in smart contracts and drastically reducing the cost of state on the Solana network.
State Compression is most prominently used by Metaplex’s Bubblegum program, which powers Compressed NFTs. NFTs have stable data structures and thus are easily parsed by multiple parties. However, generalized state compression would allow the same cost savings being used for NFTs to work for any piece of state on Solana.
There’s an assortment of standards, specifications, tools, and workflows needed to make this a reality on Solana. This RFP is intended to be completed by one (or many) parties, and prospective submissions can address one or many of the milestones.
Please apply for the RFP here for consideration.
Logistics
Take note of the end date (1/1/2024) and be sure to make sure all criteria is met prior to sending in an application.
Ground Rules
This thread can be used for comments, questions, praise, and / or criticism, and is intended to be an open forum for any prospective responders. This thread is also an experiment in increasing the transparency through which RFPs are fielded by the Solana ecosystem too, so please be mindful that we’re all here to learn and grow.
Responses to this RFP are not required to be public, but if it is helpful to share notes or combine forces, then please use this thread for such purposes.","[jnwng]: note—the submission deadline has been extended to 12/1/2023 due to slippage (me procrastinating due to Breakpoint)
also a note on milestones: since the milestones are somewhat inter-related but not entirely dependent, submissions for the 1st and 2nd milestones will be reviewed after the submission deadline, and submissions for the 3rd milestone may be accepted on a rolling basis because that milestone is broadly applicable to compressed NFTs, not just generalized state compression.

[jnwng]: this RFP has been completed, and all teams with submissions have been (personally) evaluated as well as notified regarding their status. we’re looking forward to the continued development of technologies to help scale Solana to new heights- more to come as work proceeds.

[Gabynto]: I would keep my hands crossed in anticipation to more of such RFPs.

",jnwng,1076,0,3,4,2023-11-07T16:28:52.022Z,2024-08-02T10:58:39.615Z,RFP,10,2024-08-02T10:58:39.615Z
1031,Post-Deployment Monitoring Tooling,https://forum.solana.com/t/post-deployment-monitoring-tooling/1031,"Context
There exists a lack of post-deployment monitoring tooling that allow for program developers to extract realtime and actionable insights. Developers should look to use continuous monitoring or observability tools to manage active threats and achieve actionable data regarding their programs. Most insights require a real time data filtering or analysis workflows and will need to maintain a firehouse of program-specific updates, assessors and instruction calls.
Please see the following RFP that outlines a request to create program monitoring tooling. The Solana Foundation lays out a list of proposed solutions, but the technology used to monitor (or verify) is at the behest of the applicant.
Logistics
Take note of the application deadline (2/29/2024). The maximum grant amount is not included within the request as different monitoring applications will have varying cost factors. The resulting finalist(s) will work with the Solana Foundation to receive an appropriate grant issued in USD-equivalent locked SOL with approachable, but rigorous milestones.
Ground Rules
This thread can be used for comments, questions, praise, and / or criticism, and is intended to be an open forum for any prospective responders. This thread is also an experiment in increasing the transparency through which RFPs are fielded by the Solana ecosystem too, so please be mindful that we’re all here to learn and grow.
Responses to this RFP are not required to be public (but recommended), but if it is helpful to share notes or combine forces, then please use this thread for such purposes
Link: Airtable - Solana Foundation Public RFP Database","[0xmulch]: Hey @pkxro,
Thanks for this post and getting the word out. I had this realization a few days ago- there is a huge market gap for tools that monitor contracts post-deployment. I think it is something that has been overlooked to date since it’s not something that a startup really thinks like, and lack of metrics on contracts will be a huge barrier to entry for a lot of tradfi/corps eyeing launching an on-chain product.
I started working on something that I intend to open source after I get it in working order, and I would love help if anyone is interested!

[SendBlocks]: Hi all, I’m curios to learn what you believe are the most pressing gaps? The RFP Mentions Observability Tools, Live Fuzzing Tools, and Off-chain Alerting and Dispatcher Tools. Prioritization / more specific needs will enable us to bring the best offering to the table.

[pkxro]: Hey @SendBlocks,
All of these are gaps. This was a deliberate choice to not be prescriptive in the types of applications we were looking for. RFP applicants should define how their tooling best helps the ecosystem.

[pkxro]: Hey @0xmulch if you’re not applying to the RFP track, please reach out! Would love to see where you’re at here. Telegram: Contact @pkxro or dm me directly on the forum

[SendBlocks]: Thank you for your response! We were prioritizing to fit into the requested schedule. We look forward to discussing our proposition further.

[0xmulch]: Hey, would love to chat, I am not familiar with RFP, so if this is something that is grantable/ fundable I would quit my job today to work on this. Let me know how serious you are, I was considering going and trying to pitch it in the Colosseum, but still working on the MVP, value prop, TAM etc

[0xmulch]: Just finished the Colosseum hackathon up and am contemplating which thing I would like to prioritize next, this is still one of my higher priority ideas, @pkxro did you ultimately cancel the RFP or were some submissions accepted? I can produce some preliminary arch docs if this is still on the table
Update: Disreg-- just located the RFP DB-- glad you guys got something going. Thanks!

[Gabynto]: This RFP is a great opportunity to develop program monitoring tools for real-time insights and threat management. Make sure to review the details and deadlines carefully, and consider collaborating or sharing notes on this thread to strengthen your proposal.

",pkxro,2039,4,8,9,2024-02-07T17:41:18.825Z,2024-07-31T10:41:41.498Z,RFP,10,2024-07-31T10:41:41.498Z
1030,Pre-Deployment Program Analysis,https://forum.solana.com/t/pre-deployment-program-analysis/1030,"Context
There exists a lack of Open Source security tooling that allow for Solana developers to alleviate their programs from a wide range of vulnerabilities. Open Source Formal Verification and Symbolic Analysis tooling, Fuzzing Frameworks and other technologies can better assist program developers in the journey of securing their programs before deployment or upgrades.
Please see the following RFP that outlines a request to create repeatable program analysis tooling. The Solana Foundation lays out a list of proposed solutions, but the technology used to secure programs is at the behest of the applicant.
Logistics
Take note of the application deadline (2/29/2024). The maximum grant amount is not included within the request as different security applications will have varying cost factors. The resulting finalist(s) will work with the Solana Foundation to receive an appropriate grant issued in USD-equivalent locked SOL with approachable, but rigorous milestones.
Ground Rules
This thread can be used for comments, questions, praise, and / or criticism, and is intended to be an open forum for any prospective responders. This thread is also an experiment in increasing the transparency through which RFPs are fielded by the Solana ecosystem too, so please be mindful that we’re all here to learn and grow.
Responses to this RFP are not required to be public (but recommended), but if it is helpful to share notes or combine forces, then please use this thread for such purposes
Link: Airtable - Solana Foundation Public RFP Database","[Coinfabrik]: Bringing Scout to Solana
Dear Solana community,
We’re excited to present our proposal for this RFP, Scout, our open-source vulnerability detection tool. Whether you’re an entry-level developer or an expert, Scout is the perfect tool to improve the secure development lifecycle of your smart contract projects. Designed with ease of use in mind, Scout offers a seamless installation process, allowing you to focus on what matters most: creating innovative and secure smart contracts.
We are CoinFabrik, a leading research, development, and security auditing company specializing in Web3 technologies. This year marks our 10-year anniversary, and for the past 3 years, we’ve added value to the Solana ecosystem. CoinFabrik’s technical team has performed development and auditing for projects like Codigo.AI, Genopets, SmartChain, and Fitchin. Furthermore, we co-hosted the first Solana Hackathon in Argentina (Summer Sol Sessions Buenos Aires) and also had our booth at Breakpoint Amsterdam in 2023, presenting our smart contract testing tool SolBricks. Our commitment is to continue contributing to Solana’s developer growth and retention, and to foster the entry of new talent to help maintain and improve the network.
Our team has an academic background in computer science and mathematics, adding up to decades of experience in cybersecurity and software development, including academic publications, patents turned into products, and conference presentations. Furthermore, we have an ongoing collaboration on knowledge transfer and open-source projects with the University of Buenos Aires.
Tool Overview
Scout is an open-source bug detection tool designed to assist developers and auditors in identifying potential security threats and applying best practices to smart contracts. It enhances contract security by detecting issues and suggesting remediations during development, thus ensuring the security of contracts before deployment.
Scout is a static analyzer equipped with specialized lints or detectors that pinpoint specific vulnerabilities. These lints are designed for easy integration, enabling contributors to add new detectors seamlessly. Scout includes a command-line interface (CLI) offering various output formats, along with a VSCode extension that highlights vulnerable code segments and provides explanations and remediation suggestions.
As a security companion, Scout’s comprehensive documentation and open-source approach encourage community contributions, elevating ecosystem security standards and best practices.
Help us bring Scout to Solana!
We want to hear from you! We look forward to any feedback the Solana developer community wants to share concerning our proposal to bring Scout into the ecosystem.
Which types of Solana vulnerabilities would you like our bug detection tool to focus on identifying? Your suggestions will help us refine our tool’s capabilities to better meet the community’s requirements and improve the network’s security.

[maddavid]: The Whale Suite
